No.,Meaning,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
79,earth,aarde,tokë,գետին,মাটি,zemlja,земя,terra,zemlja,země,jorden,aarde,earth,terre,terra,Erde,γη,પૃથ્વી,धरती,jörð,talamh,terra,zeme,žemė,земјата,पृथ्वी,पृथ्वी,jord,ځمکه,زمین,ziemia,terra,pământ,земля,земља,පස,zem,zemlja,tierra,jorden,земля,زمین,ddaear
80,cloud,wolk,re,ամպ,মেঘ,oblak,облак,núvol,oblak,mrak,sky,wolk,cloud,nuage,nube,Wolke,σύννεφο,વાદળ,बादल,ský,scamall,nuvola,mākonis,debesis,облак,ढग,बादल,sky,ورېځ,ابر,chmura,nuvem,nor,облако,облак,වලාකුළු,oblak,oblak,nube,moln,хмара,بادل,cwmwl
81,smoke,rook,tym,ծուխ,ধোঁয়া,dim,дим,fum,dim,kouř,røg,rook,smoke,fumée,fume,Rauch,καπνός,ધુમાડો,धुआँ,reykur,deatach,fumo,dūmi,dūmai,чад,धूर,धुम्रपान,røyk,لوګي,دود,dym,fumaça,fum,дым,дим,දුම,dym,dim,humo,rök,дим,دھواں,mwg
82,fire,vuur,zjarr,կրակ,আগুন,vatra,огън,foc,vatra,oheň,ild,vuur,fire,feu,lume,Feuer,φωτιά,આગ,आग,eldur,tine,fuoco,uguns,ugnis,оган,आग,आगो,brann,اور,آتش,ogień,fogo,foc,огонь,ватра,ගිනි,oheň,ogenj,fuego,brand,вогонь,آگ,tân
83,ash,as,hi,մոխիր,ছাই,pepeo,пепел,cendra,pepeo,popel,aske,as,ash,cendre,cinza,Asche,στάχτη,રાખ,राख,askur,fuinseog,cenere,pelni,pelenai,пепел,राख,खरानी,aske,ایره,خاکستر,popiół,cinzas,cenușă,зола,попео,අළු,popol,pepel,ceniza,aska,попіл,راکھ,lludw
84,burn,brand,djeg,այրել,পোড়া,goriti,горя,cremar,spaliti,hořet,brænde,brandwond,burn,brûler,queimar,brennen,έγκαυμα,બળે,जलाना,brenna,sruthán,bruciare,degt,deginti,изгори,जाळणे,जलन,brenne,سوځیدل,سوختن,rozpalić,queimar,a arde,гореть,горети,පුළුස්සා දමනවා,horieť,zažgati,quemar,bränna,спалювати,جلنا,llosgi
85,path,pad,rrugë,ուղի,পথ,put,път,camí,put,cesta,vej,pad,path,chemin,camiño,Pfad,μονοπάτι,માર્ગ,पथ,leið,bóthar,sentiero,ceļš,kelias,патека,मार्ग,मार्ग,sti,لاره,مسیر,ścieżka,caminho,drum,путь,пут,මාර්ග,chodník,steza,camino,väg,шлях,راستہ,llwybr
86,mountain,berg,mal,սար,পর্বত,planina,планина,muntanya,planina,hora,bjerg,berg,mountain,montagne,montaña,Berg,βουνό,પર્વત,पहाड़,fjall,sliabh,montagna,kalns,kalnas,планина,डोंगर,हिमाल,fjell,غر,کوه,góra,montanha,munte,гора,планина,කන්ද,hora,gora,montaña,fjäll,гора,پہاڑ,mynydd
87,red,rooi,i kuq,կարմիր,লাল,crven,червен,roig,crven,červený,rød,rood,red,rouge,vermello,rot,κόκκινος,લાલ,लाल,rauður,dearg,rosso,sarkans,raudonas,црвено,लाल,रातो,rød,سور,قرمز,czerwony,vermelho,roșu,красный,црвен,රතු,červená,rdeč,rojo,röd,червоний,سرخ,coch
88,green,groen,jeshil,կանաչ,সবুজ,zelen,зелено,verd,zelen,zelený,grøn,groen,green,vert,verde,grün,πράσινος,લીલા,हरा,grænn,glas,verde,zaļš,žalias,зелена,हिरवा,हरियो,grønn,شین,سبز,zielony,verde,verde,зеленый,зелен,කොළ,zelená,zelen,verde,grön,зелений,سبز,gwyrdd
89,yellow,geel,i verdhë,դեղին,হলুদ,žut,жълто,groc,žut,žlutý,gul,geel,yellow,jaune,amarelo,gelb,κίτρινος,પીળો,पीला,gulur,buí,giallo,dzeltens,geltonas,жолта,पिवळा,पहेँलो,gul,ژیړ,زرد,żółty,amarelo,galben,желтый,жут,කහ,žltá,rumen,amarillo,gul,жовтий,پیلا,melyn
90,white,wit,i bardhë,սպիտակ,সাদা,bijeli,бяло,blanc,bijeli,bílý,hvid,wit,white,blanche,branco,Weiß,λευκός,સફેદ,सफेद,hvítur,bán,bianca,balts,baltas,бело,पांढरा,सेतो,hvit,سپین,سفید,biały,branco,alb,белый,бео,සුදු,biely,bel,blanco,vit,білий,سفید,gwyn
91,black,swart,i zi,սև,কালো,crn,черен,negre,crn,černý,sort,zwart,black,noir,negro,Schwarz,μαύρος,કાળો,काला,svartur,dubh,nero,melns,juodas,црна,काळा,कालो,svart,تور,سیاه,czarny,preto,negru,чёрный,црн,කලු,čierna,črn,negro,svart,чорний,سیاہ,du
92,night,nag,natë,գիշեր,রাত,noć,нощ,nit,noć,noc,nat,nacht,night,nuit,noite,Nacht,νύχτα,રાત,रात,nótt,oíche,notte,nakts,naktis,ноќе,रात्री,राती,natt,شپه,شب,noc,noite,noapte,ночь,ноћ,රෑ,noc,noč,noche,natt,ніч,رات,nos
93,hot,warm,i nxehtë,տաք,গরম,vruće,горещо,calent,vruće,horký,hed,heet,hot,chaud,quente,heiß,ζεστός,ગરમ,गरम,heitur,te,caldo,karsts,karštas,жешко,गरम,तातो,varm,ګرم,گرم,gorący,quente,fierbinte,горячий,вруће,උණුසුම්,horúci,vroče,caliente,varm,гарячий,گرم,poeth
94,cold,koue,i ftohtë,սառը,ঠান্ডা,hladan,студ,fred,hladan,studený,kold,koud,cold,froid,frío,kalt,κρύος,ઠંડી,ठंडा,kaldur,fuar,freddo,auksts,šaltas,ладно,थंड,चिसो,kald,ساړه,سرد,zimny,frio,rece,холодный,хладно,සීතල,chladný,hladno,frío,kall,холодний,ٹھنڈا,oerfel
95,full,volledige,i mbushur,լիքը,সম্পূর্ণ,pun,пълен,ple,puna,úplný,fuld,vol,full,plein,cheo,voll,γεμάτος,સંપૂર્ણ,भरा हुआ,fullur,lán,pieno,pilns,pilnas,полн,पूर्ण,पूरा,full,ډک,پر,pełny,cheio,deplin,полный,пун,පිරුණු,plný,poln,lleno,full,повний,مکمل,llawn
96,new,nuut,i ri,նոր,নতুন,nov,нов,nou,nov,nový,ny,nieuwe,new,nouveau,novo,Neu,νέος,નવું,नवीन,nýr,nua,nuovo,jauns,naujas,нов,नवीन,नयाँ,ny,نوی,جدید,nowy,novo,nou,новый,нов,අලුත්,nový,nov,nuevo,ny,новий,نیا,newydd
97,good,goeie,i mirë,լավ,ভাল,dobar,добре,bo,dobar,dobrý,god,goed,good,bon,bo,gut,καλός,સારું,अच्छा,góður,maith,buono,labi,geras,добро,चांगले,राम्रो,god,ښه,خوب,dobry,bom,bun,хороший,добар,හොඳ,dobrý,dober,bueno,bra,добре,اچھا,dda
98,round,ronde,qark,կլոր,বৃত্তাকার,okruglo,кръгъл,rodó,okrugao,kulatý,rund,ronde,round,rond,redondo,rund,στρογγυλό,ગોળાકાર,गोल,kringlóttur,cruinn,tondo,apaļš,apvalus,круг,गोल,गोलो,rund,ګرد,گرد,okrągły,redondo,rundă,круглый,округли,රවුම්,okrúhly,okrogel,redondo,runda,круглий,گول,crwn
99,dry,droë,i thatë,չոր,শুকানো,suho,суха,sec,suha,suchý,tør,droog,dry,sec,seco,trocken,ξηρός,શુષ્ક,सूखा,þurr,tirim,asciutto,sauss,sausas,сува,कोरडे,सुख्खा,tørke,وچ,خشک,suchy,seco,uscat,сухой,сув,වියළි,suchý,suh,seco,torr,сухий,خشک,sych
100,name,naam,emër,անուն,নাম,ime,име,nom,ime,název,navn,naam,name,nom,nome,Name,όνομα,નામ,नाम,nafn,ainm,nome,nosaukums,vardas,име,नाव,नाम,navn,نوم,نام,nazwa,nome,nume,имя,име,නම,názov,ime,nombre,namn,ім'я,نام,enw
101,he,hy,ai,նա,সে,on,той,ell,on,on,han,hij,he,il,él,er,αυτός,તે,वह,hann,sé,lui,viņš,jis,тој,तो,ऊ,han,هغه,او,on,ele,el,он,он,එයා,on,on,él,han,він,وہ,e
102,you (plural),julle,ju,դուք,তোমরা,vi,вие,vosaltres,vi,vy,I,jullie,you,vous,vós,ihr,εσείς,તમે,आप लोग,þið,sibh,voi,jūs,jūs,вие,तुम्ही,तिमीहरू,dere,تاسو,شما,wy,vocês,voi,вы,ви,ඔයාලා,vy,vi,vosotros,ni,ви,تم لوگ,chi
103,they,hulle,ata,նրանք,তারা,oni,те,ells,oni,oni,de,zij,they,ils,eles,sie,αυτοί,તેઓ,वे,þeir,siad,loro,viņi,jie,тие,ते,उनीहरू,de,هغوی,آنها,oni,eles,ei,они,они,එයාලා,oni,oni,ellos,de,вони,وہ,nhw
104,here,hier,këtu,այստեղ,এখানে,ovdje,тук,aquí,ovdje,tady,her,hier,here,ici,aquí,hier,εδώ,અહીં,यहाँ,hér,anseo,qui,šeit,čia,овде,येथे,यहाँ,her,دلته,اینجا,tutaj,aqui,aici,здесь,овде,මෙතන,tu,tukaj,aquí,här,тут,یہاں,yma
105,there,daar,atje,այնտեղ,সেখানে,tamo,там,allà,tamo,tam,der,daar,there,là-bas,alí,dort,εκεί,ત્યાં,वहाँ,þar,ann,là,tur,ten,таму,तेथे,त्यहाँ,der,هلته,آنجا,tam,lá,acolo,там,тамо,එතන,tam,tam,allí,där,там,وہاں,yno
106,where,waar,ku,որտեղ,কোথায়,gdje,където,on,gdje,kde,hvor,waar,where,où,ónde,wo,πού,જ્યાં,कहाँ,hvar,cá,dove,kur,kur,каде,कुठे,कहाँ,hvor,چیرته,کجا,gdzie,onde,unde,где,где,කොහේ ද,kde,kje,dónde,var,де,کہاں,lle
107,when,wanneer,kur,երբ,কখন,kada,кога,quan,kada,když,hvornår,wanneer,when,quand,cándo,Wenn,πότε,ક્યારે,जब,hvenær,cathain,quando,kad,kada,кога,कधी,कहिले,når,كله,کی,kiedy,quando,când,когда,када,කවදා ද,kedy,kdaj,cuándo,när,коли,کب,pryd
108,how,hoe,si,ինչպես,কিভাবে,kako,как,com,kako,jak,hvordan,hoe,how,comment,cómo,wie,πώς,કેવી રીતે,कैसे,hvernig,conas,come,kā,kaip,како,कसे,कसरी,hvordan,څنګه,چگونه,jak,como,cum,как,како,කොහොම ද,ako,kako,cómo,hur,як,کیسے,siwd
109,some,sommige,disa,մի քանի,কিছু,neki,някои,alguns,neki,nějaký,nogle,sommige,some,quelque,alguns,etwas,μερικοί,કેટલાક,कुछ,sumur,roinnt,alcuno,daži,kai kas,некои,काही,केही,noen,ځینې,چند,niektóre,algum,niște,несколько,неки,සමහර,nejaký,nekaj,unos,vissa,дещо,کچھ,rhai
110,few,paar,pak,քիչ,কিছু,nekoliko,малцина,poc,nekoliko,málo,få,weinig,few,peu,poucos,wenig,λίγοι,થોડા,कम,fár,cúpla,poco,maz,maža,неколку,थोडे,थोरै मात्र,få,لږ,کم,kilka,poucos,puțin,немного,неколико,අඩු,málo,malo,poco,få,небагато,چند,nemor
111,other,ander,të tjerët,այլ,অন্যান্য,ostalo,други,altres,drugo,jiný,andet,ander,other,autre,outro,ander,άλλος,અન્ય,अन्य,annar,eile,altro,cits,kitas,други,इतर,अन्य,annen,نور,دیگر,inny,outro,alte,другое,друго,අනිත්,iný,drug,otro,annan,інший,دوسرے,arall
112,three,drie,tre,երեք,তিন,tri,три,tres,tri,tři,tre,drie,three,trois,tres,drei,τρία,ત્રણ,तीन,þrír,trí,tre,trīs,trys,три,तीन,तीन,tre,درې,سه,trzy,três,trei,три,три,තුන,tri,tri,tres,tre,три,تین,tri
113,four,vier,katër,չորս,চার,četiri,четири,quatre,četiri,čtyři,fire,vier,four,quatre,catro,vier,τέσσερα,ચાર,चार,fjórir,ceathair,quattro,četri,keturi,четири,चार,चार,fire,څلور,چهار,cztery,quatro,patru,четыре,четири,හතර,štyri,štiri,cuatro,fyra,чотири,چار,pedwar
114,five,vyf,pesë,հինգ,পাঁচ,pet,пет,cinc,pet,pět,fem,vijf,five,cinq,cinco,fünf,πέντε,પાંચ,पंज,fimm,cúig,cinque,pieci,penki,пет,पाच,पाँच,fem,پنځه,پنج,pięć,cinco,cinci,пять,пет,පහ,päť,pet,cinco,fem,п'ять,پانچ,pump
115,wide,wye,i gjerë,լայն,প্রশস্ত,širok,широк,ample,širok,široký,bred,breed,wide,large,ancho,weit,πλατύς,પહોળું,चौड़ा,breiður,leathan,largo,plašs,platus,широк,रुंद,चौडाई,bred,پراخه,پهن,szeroki,amplo,larg,широкий,широк,පුළුල්,široký,širok,ancho,bred,широкий,چوڑا,llydan
116,thick (in thickness/depth),dik,i trashë,հաստ,মোটা,debeo,дебел,gruixut,debeo,tlustý,tyk,dik,thick,épais,groso,dick,πυκνός,જાડું,मोटा,þykkur,tiubh,spesso,biezs,storas,дебели,जाड,बाक्लो,tykk,پنډ,ضخیم,gruby,grosso,gros,толстый,дебео,ඝන,hrubý,debel,grueso,tjock,товстий,موٹا,braisg
117,heavy,swaar,i rëndë,ծանր,ভারী,težak,тежък,pesada,težak,těžký,tung,zwaar,heavy,lourd,pesado,schwer,βαρύς,ભારે,भारी,þungur,trom,pesante,smags,sunkus,тешки,जड,भारी,tung,دروند,سنگین,ciężki,pesado,greu,тяжелый,тежак,බර,ťažký,težek,pesado,tung,важкий,بھاری,trwm
118,short,kort,i shkurtër,կարճ,সংক্ষিপ্ত,kratak,къс,curt,kratak,krátký,kort,kort,short,court,curto,kurz,μικρός,ટૂંકું,कम,stuttur,gearr,corto,īss,trumpas,кратко,लहान,छोटो,kort,لنډ,کوتاه,krótki,curto,scurt,короткий,кратак,කෙටි,krátky,kratek,corto,kort,короткий,مختصر,byr
119,narrow,smal,i ngushtë,նեղ,সংকীর্ণ,uzak,тесен,estret,uzak,úzký,smal,nauw,narrow,étroit,estreito,eng,στενός,સાકડૂ,संकीर्ण,þröngur,caol,stretto,šaurs,siauras,тесен,अरुंद,साँघुरो,smal,تنګ,باریک,wąski,estreito,îngust,узкий,узак,පටු,úzky,ozek,angosto,smal,вузький,تنگ,cul
120,thin (in thickness/depth),dun,i hollë,բարակ,পাতলা,tanak,тънък,prim,tanak,tenký,tynd,dun,thin,mince,delgado,Dünn,λεπτός,પાતળું,पतला,þunnur,tanaí,sottile,tievs,plonas,тенок,पातळ,पातलो,tynn,نازک,نازک,chudy,fino,subţire,тонкий,танак,සිහින්,tenký,tanek,delgado,tunn,тонкий,پتلی,tenau
121,child,kind,fëmijë,երեխա,শিশু,dijete,дете,nen,dijete,dítě,barn,kind,child,enfant,neno,Kind,παιδί,બાળક,बच्चा,barn,leanbh,bambino,bērns,vaikas,дете,मूल,बच्चा,barn,ماشوم,کودک,dziecko,criança,copil,ребенок,дете,ළමය,dieťa,otrok,niño,barn,дитина,بچہ,plentyn
122,wife,vrou,bashkëshorte,կին,স্ত্রী,supruga,съпруга,dona,žena,manželka,kone,vrouw,wife,épouse,esposa,Frau,γυναίκα,પત્ની,पत्नी,eiginkona,bean chéile,moglie,sieva,žmona,сопруга,पत्नी,श्रीमती,kone,ښځه,زن,żona,esposa,soție,жена,жена,බිරිඳ,manželka,žena,esposa,fru,дружина,بیوی,gwraig
123,husband,man,bashkëshort,ամուսին,স্বামী,suprug,съпруг,marit,suprug,manžel,mand,echtgenoot,husband,mari,marido,Mann,σύζυγος,પતિ,पति,eiginmaður,fear céile,marito,vīrs,vyras,сопруг,पती,श्रीमान,ektemann,خاوند,شوهر,mąż,esposo,soț,муж,муж,ස්වාමි පුරුෂයා,manžel,mož,esposo,man,чоловік,شوہر,gwr
124,mother,ma,nënë,մայրիկ,মা,majka,майка,mare,majka,matka,mor,moeder,mother,mère,nai,Mutter,μητέρα,માતા,मां,móðir,máthair,madre,māte,motina,мајка,आई,आमा,mor,مور,مادر,matka,mãe,mamă,мать,мајка,මව,matka,mati,madre,mor,мати,ماں,mam
125,father,pa,baba,հայրիկ,পিতা,otac,баща,pare,otac,otec,far,vader,father,père,pai,Vater,πατέρας,પિતા,पिता जी,faðir,athair,padre,tēvs,tėvas,татко,वडील,बुबा,far,پلار,پدر,ojciec,pai,tată,отец,отац,තාත්තා,otec,oče,padre,far,батько,باپ,tad
126,animal,dier,kafshë,կենդանի,পশু,životinja,животно,animal,životinja,zvíře,dyr,dier,animal,animal,animal,Tier,ζώο,પ્રાણી,जानवर,dýr,ainmhí,animale,dzīvnieks,gyvūnas,животно,प्राणी,पशु,dyr,څاروی,حیوان,zwierzę,animal,animal,животное,животиња,සත්තු,zviera,žival,animal,djur,тварина,جانور,anifail
127,snake,slang,gjarpër,օձ,সাপ,zmija,змия,serp,zmija,had,slange,slang,snake,serpent,serpe,Schlange,φίδι,સાપ,साँप,snákur,nathair,serpente,čūska,gyvatė,змија,साप,सर्प,slange,مار,مار,wąż,cobra,şarpe,змея,змија,සර්පයා,had,kača,serpiente,orm,змія,سانپ,neidr
128,worm,wurm,krimb,որդ,কীট,crv,червей,cuc,crv,červ,orm,worm,worm,ver de terre,verme,Wurm,σκουλήκι,કૃમિ,कीड़ा,ormur,péist,verme,kukaiņi,kirminas,црв,जंत,कीरा,mark,چینجی,کرم,robak,minhoca,vierme,червь,црв,පණුවා,červ,črv,gusano,mask,хробак,کیڑا,mwydyn
129,stick,hou,shkop,ճյուղ,লাঠি,štap,пръчка,pal,štap,větev,pind,stok,stick,branche,pau,Stock,ραβδί,લાકડી,छड़ी,stafur,bata,bastone,zars,lazda,стапче,काठी,लट्ठी,pinne,لرګی,چوب,kij,vara,băț,палка,штап,රිකිල්ල,palica,palica,vara,pinne,палка,چھڑی,ffon
130,fruit,vrugte,frutë,միրգ,ফল,voće,плод,fruita,voće,ovoce,frugt,fruit,fruit,fruit,froita,Frucht,φρούτο,ફળ,फल,ávöxtur,torthaí,frutta,augļi,vaisius,овошје,फळ,फलफूल,frukt,میوه,میوه,owoc,fruto,fructe,фрукт,воће,පලතුරු,ovocie,sadje,fruta,frukt,фрукти,پھل,ffrwyth
131,flower,blom,lule,ծաղիկ,ফুল,cvijet,цвете,flor,cvijet,květ,blomst,bloem,flower,fleur,flor,Blume,λουλούδι,ફૂલ,फूल,blóm,bláth,fiore,zieds,gėlė,цвеќе,फूल,फूल,blomst,ګل,گل,kwiat,flor,floare,цветок,цвет,මල,kvet,cvet,flor,blomma,квітка,پھول,blodeuyn
132,grass,gras,bar,խոտ,ঘাস,trava,трева,herba,trava,tráva,græs,gras,grass,gazon,herba,Gras,χορτάρι,ઘાસ,घास,gras,féar,erba,zāle,žolė,трева,गवत,घाँस,gress,چمن,چمن,trawka,relva,iarbă,трава,трава,තණ කොළ,tráva,trava,hierba,gräs,трава,گھاس,gwair
133,rope,tou,litar,պարան,দড়ি,uže,въже,corda,uže,lano,reb,touw,rope,corde,corda,Seil,σκοινί,દોરડું,रस्सी,reipi,téad,corda,aukla,virvė,јаже,दोरी,डोरी,tau,رسۍ,طناب,lina,corda,frânghie,веревка,конопац,කඹය,lano,vrv,cuerda,rep,мотузка,رسی,rhaff
134,leg,been,këmbë,ոտք,পা,noga,крак,cama,noga,noha,ben,been,leg,jambe,perna,Bein,πόδι,પગ,टांग,fótur,cos,gamba,kāja,koja,нога,पाय,खुट्टा,bein,پښه,ساق پا,noga,perna,picior,нога,нога,කකුල,noha,noga,pierna,ben,нога,ٹانگ,coes
135,guts (intestine),ingewande,zorrët,փորոտիք,নাড়িভুঁড়ি,crijeva,черва,budells,crijeva,vnitřnosti,indvolde,ingewanden,guts,entrailles,tripas,Eingeweide,εντόσθια,આંતરડા,हिम्मत,þarmur,inní,viscere,iekšas,žarna,црева,आतडे,हिम्मत,tarm,کولمه,دل و روده,wnętrzności,intestinos,mațe,кишки,утроба,බඩවැල්,vnútornosti,črevesje,intestino,tarmar,кишки,اندرونی اعضاء,coluddyn
136,back,terug,mbrapa,հետև,পেছন,leđa,обратно,esquena,leđa,vzadu,tilbage,rug,back,arrière,atrás,zurück,πίσω,પાછા,वापस,bak,ar ais,indietro,aiz,atgal,назад,परत,पछाडी,tilbake,شاته,پشت,za,costas,înapoi,зад,назад,පිටිපස,späť,nazaj,espalda,tillbaka,назад,پیچھے,yn ol
137,suck,suig,thith,ծծել,চুষা,sisati,смучат,xuclar,sisati,sát,suge,zuigen,suck,sucer,chupar,saugen,ρουφώ,ચૂસવું,चूसना,sjúga,diúl,succhiare,sūkt,čiulpti,цица,चोखणे,चुस्नु,suge,چوشل,مکیدن,ssać,sugar,a suge,сосать,сисати,උරා ගන්නවා,vysať,srkati,chupar,suga,смоктати,چوسنا,sugno
138,spit,spoeg,pështyj,թքել,থুতু,pljunuti,плюе,escopir,pljunuti,plivat,spytte,spit,spit,cracher,cuspir,Spucke,σούβλα,થૂંકવું,थूकना,spýta,caith,sputare,spļaut,spjaudytis,плукаат,थुंकणे,थुक्नु,spytte,توکول,تف انداختن,pluć,cuspir,a scuipa,плевать,пљунути,කටින් ඉවතට දානවා,pľuť,pljuniti,escupir,spotta,плювати,تھوکنا,poeri
139,vomit,braaksel,vjell,փսխել,বমি,povraćati,повръщане,vomitar,povraćati,zvracet,kaste op,braaksel,vomit,vomir,vomitar,sich erbrechen,κάνω εμετό,ઉલટી,उल्टी करना,æla,sceith,vomitare,vemt,vemti,повраќање,उलट्या,उल्टी गर्नु,kaste opp,کانګې,قی کردن,wymiociny,vomitar,a voma,рвота,повраћати,වමනය කරනවා,vracať,bruhati,vomitar,spy,блювати,قے,chwydu
140,blow,blaas,fryj,քամի փչել,ঘা,puhati,удар,bufar,puhati,foukat,blæse,blazen,blow,venteux,soplar,Schlag,πλήγμα,ફટકો,हवा भरना,blása,séid,soffiare,pūst,pūsti,удар,फुंकणे,हावाहुरी,blåse,پوکول,فوت کردن,wietrzyć,soprar,a sufla,дуть,дувати,හුළං හමනවා,fúkať,pihati,soplar,blåsa,удар,پھونک مارنا,chwythu
141,breathe,asem,merr frymë,շնչել,শ্বাস ফেলা,disati,дишам,respirar,disati,dýchat,trække vejret,ademen,breathe,respirer,respirar,atmen,αναπνέω,શ્વાસ લો,सांस लेना,anda,análaigh,respirare,elpot,kvėpuoti,дише,श्वास घेणे,साँस लिनु,puste,تنفس کول,نفس کشیدن,oddychać,respirar,a respira,дышать,дисати,හුස්ම ගන්නවා,dýchať,dihati,respirar,andas,дихати,سانس لینا,anadlu
142,laugh,lag,qesh,ծիծաղել,হাসি,smijeti,смейте се,riure,smijeti,smát se,grine,lachen,laugh,rire,rir,lachen,γέλιο,હસવું,हँसना,hlátur,gáire,ridere,smieties,juoktis,смеј се,हसणे,हाँस्नु,le,خندا,خندیدن,śmiać się,rir,a rade,смеяться,смејати се,හිනා වෙනවා,smiať sa,smejati se,reír,skratta,сміятися,ہنسنا,chwerthin
143,think,dink,mendoj,մտածել,ভাবা,misliti,мисля,pensar,razmišljati,myslet si,tænke,denken,think,penser,pensar,denken,νομίζω,વિચારો,सोचना,hugsa,síl,pensare,domāt,galvoti,размислете,विचार,सोच्नु,tenke,فکر کول,فکر کردن,myśleć,pensar,a gândi,думать,мислити,සිතනවා,myslieť si,pomisliti,pensar,tänka,думати,سوچنا,meddwl
144,smell,reuk,nuhat,հոտ զգալ,গন্ধ গ্রহণ করা,miris,мирис,olor,mirisati,čichnout,lugte,geur,smell,sentir,cheirar,riechen,μυρίζω,ગંધ,महकना,lykt,boladh,sentire,saost,kvepėti,мирис,वास,गन्ध,lukte,بوی,بوییدن,zapach,cheirar,a miros,нюхать,мирисати,සුවඳ බලනවා,cítiť,dišati,oler,lukta,запах,سونگهنا,arogli
145,fear,bang,druaj,վախենալ,ভয়,strah,страх,témer,strašiti,bát se,frygte,angst,fear,avoir peur,ter medo,Furcht,φοβάμαι,ભય,डरना,ótti,eagla,paura,baidīties,bijoti,страв,भीती,डर,frykte,بېره,ترسیدن,strach,temer,a frica,бояться,плашити,බය දැනෙනවා,báť sa,bojiti se,miedo,frukta,страх,خوف,ofni
146,live,lewe,jetoj,ապրել,জীবনযাপন করা,živjeti,на живо,viure,živjeti,žít,live,live,live,vivre,vivir,Leben,ζω,જીવંત,जीवन का आनन्द लेना,lifa,mair,abitare,dzīve,gyventi,во живо,राहतात,जिवन,bo,ژوند,زندگی کردن,życie,viver,a trăi,жить,живот,ජීවත් වෙනවා,žiť,življenje,vivir,leva,жити,زندہ,byw
147,fight,veg,luftoj,կռվել,যুদ্ধ,boriti se,битка,lluitar,boriti se,prát se,kæmpe,gevecht,fight,lutter,loitar,kämpfen,παλεύω,લડાઈ,लड़ाई करना,barátta,troid,combattere,kauties,kovoti,борба,लढा,लडाई,slåss,جګړه,مبارزه کردن,walczyć,lutar,a lupta,бороться,борити се,ගහ ගන්නවා,bojovať,boriti se,pelear,bekämpa,боротися,لڑنا,cwffio
148,hunt,jag,gjuaj,որսալ,শিকার করা,loviti,ловувам,caçar,loviti,lovit,jage,jacht,hunt,chasser,cazar,jagen,κυνηγώ,શિકાર,शिकार करना,veiða,fiach,cacciare,medīt,medžioti,ловат,शिकार,शिकार,jakt,ښکار,شکار کردن,polowanie,caçar,a vâna,охотиться,ловити,දඩයම් කිරීම,loviť,loviti,cazar,jaga,полювати,شکار,hela
149,hit,getref,godit,խփել,আঘাত,udariti,удари,colpejar,pogoditi,udeřit,slå,hit,hit,frapper,bater,schlagen,χτυπάω,ફટકો,मारना,lemja,buail,colpire,sist,pataikyti,удри,दाबा,पिट्नु,slå,وهل,اصابت کردن,uderzyć,bater,a lovi,бить,ударити,ගන්නවා,zasiahnuť,zadeti,pegar,slå,бити,مارو,bwrw
150,cut,knip,pres,կտրել,কাটা,rezati,разрез,tallar,izrezati,krájet,skære,snee,cut,couper,cortar,schnitten,κόβω,કાપવું,कटना,skera,gearr,tagliare,griezt,supjaustyti,сече,कट,काट्नु,skjære,پرې کول,قطع کردن,ciąć,cortar,a tăia,резать,сећи,කපනවා,rezať,rezati,cortar,skära,різати,کاٹنا,cwtogi
151,split,verdeel,ndaj,մասնատել,বিভক্ত,podijeliti,разделят,dividir,podijeliti,rozdělit,splitte,splitsen,split,diviser,partir,spalten,σπάζω,વિભાજન,विभाजित करना,skipta,scoilt,separare,ieplīst,perskeltis,подели,विभाजन,विभाजन गर्नु,dele,وېشل,شکافتن,rozdzielać,rachar,a diviza,колоть,делити,පැලෙනවා,rozdeliť,razdeliti,rajarse,dela,розколоти,تقسیم,hollti
152,stab,steek,godas,հարվածել,ছুরিকাঘাত,ubosti,удара,apunyalar,ubosti,bodnout,stikke,steken,stab,poignarder,apuñalar,stechen,μαχαιρώνω,છરા,भोंकना,stinga,sáigh,pungere,šņākt,durti,прободе,भोसकणे,छुरा प्रहार,stikke,سوري کول,خنجر زدن,dźgnąć,esfaquear,a înjunghia,бить,избости,අනිනවා,bodnúť,zabosti,apuñalar,sticka,колоти,وار,brathu
153,scratch,krap,gërvisht,քորել,আঁচড়,češati,надраскване,rascar,ogrepsti,poškrábat,kradse,schram,scratch,attraper,rascar,kratzen,γρατζουνάω,શરૂઆતથી,खरोंचना,klóra,scread,graffiare,ķert,subraižyti,гребење,स्क्रॅच,कोट्याउनु,ripe,ګيرول,خراندن,podrapać,arranhar,a zgârieturi,царапать,огребати,අල්ලා ගන්නවා,škriabať sa,prasniti,rascar,skrapa,подряпина,خروںچ,crafu
